fragmentNumber	chrom	start	end
90	2L	7500000	7600000
91	2L	7600000	7700000
92	2L	7700000	7800000
93	2L	7800000	7900000
94	2L	7900000	8000000
95	2L	8000000	8100000
96	2L	8100000	8200000
97	2L	8200000	8300000
98	2L	8300000	8400000
99	2L	8400000	8500000
100	2L	8500000	8600000
101	2L	8600000	8700000
102	2L	8700000	8800000
103	2L	8800000	8900000
104	2L	8900000	9000000
105	2L	9000000	9100000
106	2L	9100000	9200000
107	2L	9200000	9300000
108	2L	9300000	9400000
109	2L	9400000	9500000
110	2L	9500000	9600000
111	2L	9600000	9700000
112	2L	9700000	9800000
113	2L	9800000	9900000
114	2L	9900000	10000000
115	2L	10000000	10100000
116	2L	10100000	10200000
117	2L	10200000	10300000
118	2L	10300000	10400000
119	2L	10400000	10500000
120	2L	10500000	10600000
121	2L	10600000	10700000
122	2L	10700000	10800000
123	2L	10800000	10900000
124	2L	10900000	11000000
125	2L	11000000	11100000
126	2L	11100000	11200000
127	2L	11200000	11300000
128	2L	11300000	11400000
129	2L	11400000	11500000
130	2L	11500000	11600000
131	2L	11600000	11700000
132	2L	11700000	11800000
133	2L	11800000	11900000
134	2L	11900000	12000000
135	2L	12000000	12100000
136	2L	12100000	12200000
137	2L	12200000	12300000
138	2L	12300000	12400000
139	2L	12400000	12500000
140	2L	12500000	12600000
141	2L	12600000	12700000
142	2L	12700000	12800000
143	2L	12800000	12900000
144	2L	12900000	13000000
145	2L	13000000	13100000
146	2L	13100000	13200000
147	2L	13200000	13300000
148	2L	13300000	13400000
149	2L	13400000	13500000
150	2L	13500000	13600000
151	2L	13600000	13700000
152	2L	13700000	13800000
153	2L	13800000	13900000
154	2L	13900000	14000000
155	2L	14000000	14100000
156	2L	14100000	14200000
157	2L	14200000	14300000
158	2L	14300000	14400000
159	2L	14400000	14500000
160	2L	14500000	14600000
161	2L	14600000	14700000
162	2L	14700000	14800000
163	2L	14800000	14900000
164	2L	14900000	15000000
165	2L	15000000	15100000
166	2L	15100000	15200000
167	2L	15200000	15300000
168	2L	15300000	15400000
169	2L	15400000	15500000
170	2L	15500000	15600000
171	2L	15600000	15700000
172	2L	15700000	15800000
173	2L	15800000	15900000
174	2L	15900000	16000000
175	2L	16000000	16100000
176	2L	16100000	16200000
177	2L	16200000	16300000
178	2L	16300000	16400000
179	2L	16400000	16500000
180	2L	16500000	16600000
181	2L	16600000	16700000
182	2L	16700000	16800000
183	2L	16800000	16900000
184	2L	16900000	17000000
185	2L	17000000	17100000
186	2L	17100000	17200000
187	2L	17200000	17300000
188	2L	17300000	17400000
189	2L	17400000	17500000
190	2L	17500000	17600000
191	2L	17600000	17700000
192	2L	17700000	17800000
193	2L	17800000	17900000
194	2L	17900000	18000000
195	2L	18000000	18100000
196	2L	18100000	18200000
197	2L	18200000	18300000
198	2L	18300000	18400000
199	2L	18400000	18500000
200	2L	18500000	18600000
201	2L	18600000	18700000
202	2L	18700000	18800000
203	2L	18800000	18900000
204	2L	18900000	19000000
205	2L	19000000	19100000
206	2L	19100000	19200000
207	2L	19200000	19300000
208	2L	19300000	19400000
209	2L	19400000	19500000
210	2L	19500000	19600000
211	2L	19600000	19700000
212	2L	19700000	19800000
213	2L	19800000	19900000
214	2L	19900000	20000000
215	2L	20000000	20100000
216	2L	20100000	20200000
217	2L	20200000	20300000
218	2L	20300000	20400000
219	2L	20400000	20500000
220	2L	20500000	20600000
221	2L	20600000	20700000
222	2L	20700000	20800000
223	2L	20800000	20900000
224	2L	20900000	21000000
225	2L	21000000	21100000
226	2L	21100000	21200000
227	2L	21200000	21300000
228	2L	21300000	21400000
229	2L	21400000	21500000
230	2L	21500000	21600000
231	2L	21600000	21700000
232	2L	21700000	21800000
233	2L	21800000	21900000
234	2L	21900000	22000000
235	2L	22000000	22100000
236	2L	22100000	22200000
237	2L	22200000	22300000
238	2L	22300000	22400000
239	2L	22400000	22500000
240	2L	22500000	22600000
241	2L	22600000	22700000
242	2L	22700000	22800000
243	2L	22800000	22900000
244	2L	22900000	23000000
245	2L	23000000	23100000
246	2L	23100000	23200000
247	2L	23200000	23300000
248	2L	23300000	23400000
249	2L	23400000	23500000
250	2L	23500000	23513711
251	3L	0	100000
252	3L	100000	200000
253	3L	200000	300000
254	3L	300000	400000
255	3L	400000	500000
256	3L	500000	600000
257	3L	600000	700000
258	3L	700000	800000
259	3L	800000	900000
260	3L	900000	1000000
261	3L	1000000	1100000
262	3L	1100000	1200000
263	3L	1200000	1300000
264	3L	1300000	1400000
265	3L	1400000	1500000
266	3L	1500000	1600000
267	3L	1600000	1700000
268	3L	1700000	1800000
269	3L	1800000	1900000
270	3L	1900000	2000000
271	3L	2000000	2100000
272	3L	2100000	2200000
273	3L	2200000	2300000
274	3L	2300000	2400000
275	3L	2400000	2500000
276	3L	2500000	2600000
277	3L	2600000	2700000
278	3L	2700000	2800000
279	3L	2800000	2900000
280	3L	2900000	3000000
281	3L	3000000	3100000
282	3L	3100000	3200000
283	3L	3200000	3300000
284	3L	3300000	3400000
285	3L	3400000	3500000
286	3L	3500000	3600000
287	3L	3600000	3700000
288	3L	3700000	3800000
289	3L	3800000	3900000
290	3L	3900000	4000000
291	3L	4000000	4100000
292	3L	4100000	4200000
293	3L	4200000	4300000
294	3L	4300000	4400000
295	3L	4400000	4500000
296	3L	4500000	4600000
297	3L	4600000	4700000
298	3L	4700000	4800000
299	3L	4800000	4900000
300	3L	4900000	5000000
301	3L	5000000	5100000
302	3L	5100000	5200000
303	3L	5200000	5300000
304	3L	5300000	5400000
305	3L	5400000	5500000
306	3L	5500000	5600000
307	3L	5600000	5700000
308	3L	5700000	5800000
309	3L	5800000	5900000
310	3L	5900000	6000000
311	3L	6000000	6100000
312	3L	6100000	6200000
313	3L	6200000	6300000
314	3L	6300000	6400000
315	3L	6400000	6500000
316	3L	6500000	6600000
317	3L	6600000	6700000
318	3L	6700000	6800000
319	3L	6800000	6900000
320	3L	6900000	7000000
321	3L	7000000	7100000
322	3L	7100000	7200000
323	3L	7200000	7300000
324	3L	7300000	7400000
325	3L	7400000	7500000
326	3L	7500000	7600000
327	3L	7600000	7700000
328	3L	7700000	7800000
329	3L	7800000	7900000
330	3L	7900000	8000000
331	3L	8000000	8100000
332	3L	8100000	8200000
333	3L	8200000	8300000
334	3L	8300000	8400000
335	3L	8400000	8500000
336	3L	8500000	8600000
337	3L	8600000	8700000
338	3L	8700000	8800000
339	3L	8800000	8900000
340	3L	8900000	9000000
341	3L	9000000	9100000
342	3L	9100000	9200000
343	3L	9200000	9300000
344	3L	9300000	9400000
345	3L	9400000	9500000
346	3L	9500000	9600000
347	3L	9600000	9700000
348	3L	9700000	9800000
349	3L	9800000	9900000
350	3L	9900000	10000000
351	3L	10000000	10100000
352	3L	10100000	10200000
353	3L	10200000	10300000
354	3L	10300000	10400000
355	3L	10400000	10500000
356	3L	10500000	10600000
357	3L	10600000	10700000
358	3L	10700000	10800000
359	3L	10800000	10900000
360	3L	10900000	11000000
361	3L	11000000	11100000
362	3L	11100000	11200000
363	3L	11200000	11300000
364	3L	11300000	11400000
365	3L	11400000	11500000
366	3L	11500000	11600000
367	3L	11600000	11700000
368	3L	11700000	11800000
369	3L	11800000	11900000
370	3L	11900000	12000000
371	3L	12000000	12100000
372	3L	12100000	12200000
373	3L	12200000	12300000
374	3L	12300000	12400000
375	3L	12400000	12500000
376	3L	12500000	12600000
377	3L	12600000	12700000
378	3L	12700000	12800000
379	3L	12800000	12900000
380	3L	12900000	13000000
381	3L	13000000	13100000
382	3L	13100000	13200000
383	3L	13200000	13300000
384	3L	13300000	13400000
385	3L	13400000	13500000
386	3L	13500000	13600000
387	3L	13600000	13700000
388	3L	13700000	13800000
389	3L	13800000	13900000
390	3L	13900000	14000000
391	3L	14000000	14100000
392	3L	14100000	14200000
393	3L	14200000	14300000
394	3L	14300000	14400000
395	3L	14400000	14500000
396	3L	14500000	14600000
397	3L	14600000	14700000
398	3L	14700000	14800000
399	3L	14800000	14900000
400	3L	14900000	15000000
401	3L	15000000	15100000
402	3L	15100000	15200000
403	3L	15200000	15300000
404	3L	15300000	15400000
405	3L	15400000	15500000
406	3L	15500000	15600000
407	3L	15600000	15700000
408	3L	15700000	15800000
409	3L	15800000	15900000
410	3L	15900000	16000000
411	3L	16000000	16100000
412	3L	16100000	16200000
413	3L	16200000	16300000
414	3L	16300000	16400000
415	3L	16400000	16500000
416	3L	16500000	16600000
417	3L	16600000	16700000
418	3L	16700000	16800000
419	3L	16800000	16900000
420	3L	16900000	17000000
421	3L	17000000	17100000
422	3L	17100000	17200000
423	3L	17200000	17300000
424	3L	17300000	17400000
425	3L	17400000	17500000
426	3L	17500000	17600000
427	3L	17600000	17700000
428	3L	17700000	17800000
429	3L	17800000	17900000
430	3L	17900000	18000000
431	3L	18000000	18100000
432	3L	18100000	18200000
433	3L	18200000	18300000
434	3L	18300000	18400000
435	3L	18400000	18500000
436	3L	18500000	18600000
437	3L	18600000	18700000
438	3L	18700000	18800000
439	3L	18800000	18900000
440	3L	18900000	19000000
441	3L	19000000	19100000
442	3L	19100000	19200000
443	3L	19200000	19300000
444	3L	19300000	19400000
445	3L	19400000	19500000
446	3L	19500000	19600000
447	3L	19600000	19700000
448	3L	19700000	19800000
449	3L	19800000	19900000
450	3L	19900000	20000000
451	3L	20000000	20100000
452	3L	20100000	20200000
453	3L	20200000	20300000
454	3L	20300000	20400000
455	3L	20400000	20500000
456	3L	20500000	20600000
457	3L	20600000	20700000
458	3L	20700000	20800000
459	3L	20800000	20900000
460	3L	20900000	21000000
461	3L	21000000	21100000
462	3L	21100000	21200000
463	3L	21200000	21300000
464	3L	21300000	21400000
465	3L	21400000	21500000
466	3L	21500000	21600000
467	3L	21600000	21700000
468	3L	21700000	21800000
469	3L	21800000	21900000
470	3L	21900000	22000000
471	3L	22000000	22100000
472	3L	22100000	22200000
473	3L	22200000	22300000
474	3L	22300000	22400000
475	3L	22400000	22500000
476	3L	22500000	22600000
477	3L	22600000	22700000
478	3L	22700000	22800000
479	3L	22800000	22900000
480	3L	22900000	23000000
481	3L	23000000	23100000
482	3L	23100000	23200000
483	3L	23200000	23300000
484	3L	23300000	23400000
485	3L	23400000	23500000
486	3L	23500000	23600000
487	3L	23600000	23700000
488	3L	23700000	23800000
489	3L	23800000	23900000
490	3L	23900000	24000000
491	3L	24000000	24100000
492	3L	24100000	24200000
493	3L	24200000	24300000
494	3L	24300000	24400000
495	3L	24400000	24500000
496	3L	24500000	24600000
497	3L	24600000	24700000
498	3L	24700000	24800000
499	3L	24800000	24900000
500	3L	24900000	25000000
501	3L	25000000	25100000
502	3L	25100000	25200000
503	3L	25200000	25300000
504	3L	25300000	25400000
505	3L	25400000	25500000
506	3L	25500000	25600000
507	3L	25600000	25700000
508	3L	25700000	25800000
509	3L	25800000	25900000
510	3L	25900000	26000000
511	3L	26000000	26100000
512	3L	26100000	26200000
513	3L	26200000	26300000
514	3L	26300000	26400000
515	3L	26400000	26500000
516	3L	26500000	26600000
517	3L	26600000	26700000
518	3L	26700000	26800000
519	3L	26800000	26900000
520	3L	26900000	27000000
521	3L	27000000	27100000
522	3L	27100000	27200000
523	3L	27200000	27300000
524	3L	27300000	27400000
525	3L	27400000	27500000
526	3L	27500000	27600000
527	3L	27600000	27700000
528	3L	27700000	27800000
529	3L	27800000	27900000
530	3L	27900000	28000000
531	3L	28000000	28100000
532	3L	28100000	28110226
533	2R	0	100000
534	2R	100000	200000
535	2R	200000	300000
536	2R	300000	400000
537	2R	400000	500000
538	2R	500000	600000
539	2R	600000	700000
540	2R	700000	800000
541	2R	800000	900000
542	2R	900000	1000000
543	2R	1000000	1100000
544	2R	1100000	1200000
545	2R	1200000	1300000
546	2R	1300000	1400000
547	2R	1400000	1500000
548	2R	1500000	1600000
549	2R	1600000	1700000
550	2R	1700000	1800000
551	2R	1800000	1900000
552	2R	1900000	2000000
553	2R	2000000	2100000
554	2R	2100000	2200000
555	2R	2200000	2300000
556	2R	2300000	2400000
557	2R	2400000	2500000
558	2R	2500000	2600000
559	2R	2600000	2700000
560	2R	2700000	2800000
561	2R	2800000	2900000
562	2R	2900000	3000000
563	2R	3000000	3100000
564	2R	3100000	3200000
565	2R	3200000	3300000
566	2R	3300000	3400000
567	2R	3400000	3500000
568	2R	3500000	3600000
569	2R	3600000	3700000
570	2R	3700000	3800000
571	2R	3800000	3900000
572	2R	3900000	4000000
573	2R	4000000	4100000
574	2R	4100000	4200000
575	2R	4200000	4300000
576	2R	4300000	4400000
577	2R	4400000	4500000
578	2R	4500000	4600000
579	2R	4600000	4700000
580	2R	4700000	4800000
581	2R	4800000	4900000
582	2R	4900000	5000000
583	2R	5000000	5100000
584	2R	5100000	5200000
585	2R	5200000	5300000
586	2R	5300000	5400000
587	2R	5400000	5500000
588	2R	5500000	5600000
589	2R	5600000	5700000
590	2R	5700000	5800000
591	2R	5800000	5900000
592	2R	5900000	6000000
593	2R	6000000	6100000
594	2R	6100000	6200000
595	2R	6200000	6300000
596	2R	6300000	6400000
597	2R	6400000	6500000
598	2R	6500000	6600000
599	2R	6600000	6700000
600	2R	6700000	6800000
601	2R	6800000	6900000
602	2R	6900000	7000000
603	2R	7000000	7100000
604	2R	7100000	7200000
605	2R	7200000	7300000
606	2R	7300000	7400000
607	2R	7400000	7500000
608	2R	7500000	7600000
609	2R	7600000	7700000
610	2R	7700000	7800000
611	2R	7800000	7900000
612	2R	7900000	8000000
613	2R	8000000	8100000
614	2R	8100000	8200000
615	2R	8200000	8300000
616	2R	8300000	8400000
617	2R	8400000	8500000
618	2R	8500000	8600000
619	2R	8600000	8700000
620	2R	8700000	8800000
621	2R	8800000	8900000
622	2R	8900000	9000000
623	2R	9000000	9100000
624	2R	9100000	9200000
625	2R	9200000	9300000
626	2R	9300000	9400000
627	2R	9400000	9500000
628	2R	9500000	9600000
629	2R	9600000	9700000
630	2R	9700000	9800000
631	2R	9800000	9900000
632	2R	9900000	10000000
633	2R	10000000	10100000
634	2R	10100000	10200000
635	2R	10200000	10300000
636	2R	10300000	10400000
637	2R	10400000	10500000
638	2R	10500000	10600000
639	2R	10600000	10700000
640	2R	10700000	10800000
641	2R	10800000	10900000
642	2R	10900000	11000000
643	2R	11000000	11100000
644	2R	11100000	11200000
645	2R	11200000	11300000
646	2R	11300000	11400000
647	2R	11400000	11500000
648	2R	11500000	11600000
649	2R	11600000	11700000
650	2R	11700000	11800000
651	2R	11800000	11900000
652	2R	11900000	12000000
653	2R	12000000	12100000
654	2R	12100000	12200000
655	2R	12200000	12300000
656	2R	12300000	12400000
657	2R	12400000	12500000
658	2R	12500000	12600000
659	2R	12600000	12700000
660	2R	12700000	12800000
661	2R	12800000	12900000
662	2R	12900000	13000000
663	2R	13000000	13100000
664	2R	13100000	13200000
665	2R	13200000	13300000
666	2R	13300000	13400000
667	2R	13400000	13500000
668	2R	13500000	13600000
669	2R	13600000	13700000
670	2R	13700000	13800000
671	2R	13800000	13900000
672	2R	13900000	14000000
673	2R	14000000	14100000
674	2R	14100000	14200000
675	2R	14200000	14300000
676	2R	14300000	14400000
677	2R	14400000	14500000
678	2R	14500000	14600000
679	2R	14600000	14700000
680	2R	14700000	14800000
681	2R	14800000	14900000
682	2R	14900000	15000000
683	2R	15000000	15100000
684	2R	15100000	15200000
685	2R	15200000	15300000
686	2R	15300000	15400000
687	2R	15400000	15500000
688	2R	15500000	15600000
689	2R	15600000	15700000
690	2R	15700000	15800000
691	2R	15800000	15900000
692	2R	15900000	16000000
693	2R	16000000	16100000
694	2R	16100000	16200000
695	2R	16200000	16300000
696	2R	16300000	16400000
697	2R	16400000	16500000
698	2R	16500000	16600000
699	2R	16600000	16700000
700	2R	16700000	16800000
701	2R	16800000	16900000
702	2R	16900000	17000000
703	2R	17000000	17100000
704	2R	17100000	17200000
705	2R	17200000	17300000
706	2R	17300000	17400000
707	2R	17400000	17500000
708	2R	17500000	17600000
709	2R	17600000	17700000
710	2R	17700000	17800000
711	2R	17800000	17900000
712	2R	17900000	18000000
713	2R	18000000	18100000
714	2R	18100000	18200000
715	2R	18200000	18300000
716	2R	18300000	18400000
717	2R	18400000	18500000
718	2R	18500000	18600000
719	2R	18600000	18700000
720	2R	18700000	18800000
721	2R	18800000	18900000
722	2R	18900000	19000000
723	2R	19000000	19100000
724	2R	19100000	19200000
725	2R	19200000	19300000
726	2R	19300000	19400000
727	2R	19400000	19500000
728	2R	19500000	19600000
729	2R	19600000	19700000
730	2R	19700000	19800000
731	2R	19800000	19900000
732	2R	19900000	20000000
733	2R	20000000	20100000
734	2R	20100000	20200000
735	2R	20200000	20300000
736	2R	20300000	20400000
737	2R	20400000	20500000
738	2R	20500000	20600000
739	2R	20600000	20700000
740	2R	20700000	20800000
741	2R	20800000	20900000
742	2R	20900000	21000000
743	2R	21000000	21100000
744	2R	21100000	21200000
745	2R	21200000	21300000
746	2R	21300000	21400000
747	2R	21400000	21500000
748	2R	21500000	21600000
749	2R	21600000	21700000
750	2R	21700000	21800000
751	2R	21800000	21900000
752	2R	21900000	22000000
753	2R	22000000	22100000
754	2R	22100000	22200000
755	2R	22200000	22300000
756	2R	22300000	22400000
757	2R	22400000	22500000
758	2R	22500000	22600000
759	2R	22600000	22700000
760	2R	22700000	22800000
761	2R	22800000	22900000
762	2R	22900000	23000000
763	2R	23000000	23100000
764	2R	23100000	23200000
765	2R	23200000	23300000
766	2R	23300000	23400000
767	2R	23400000	23500000
768	2R	23500000	23600000
769	2R	23600000	23700000
770	2R	23700000	23800000
771	2R	23800000	23900000
772	2R	23900000	24000000
773	2R	24000000	24100000
774	2R	24100000	24200000
775	2R	24200000	24300000
776	2R	24300000	24400000
777	2R	24400000	24500000
778	2R	24500000	24600000
779	2R	24600000	24700000
780	2R	24700000	24800000
781	2R	24800000	24900000
782	2R	24900000	25000000
783	2R	25000000	25100000
784	2R	25100000	25200000
785	2R	25200000	25286935
786	3R	0	100000
787	3R	100000	200000
788	3R	200000	300000
789	3R	300000	400000
790	3R	400000	500000
791	3R	500000	600000
792	3R	600000	700000
793	3R	700000	800000
794	3R	800000	900000
795	3R	900000	1000000
796	3R	1000000	1100000
797	3R	1100000	1200000
798	3R	1200000	1300000
799	3R	1300000	1400000
800	3R	1400000	1500000
801	3R	1500000	1600000
802	3R	1600000	1700000
803	3R	1700000	1800000
804	3R	1800000	1900000
805	3R	1900000	2000000
806	3R	2000000	2100000
807	3R	2100000	2200000
808	3R	2200000	2300000
809	3R	2300000	2400000
810	3R	2400000	2500000
811	3R	2500000	2600000
812	3R	2600000	2700000
813	3R	2700000	2800000
814	3R	2800000	2900000
815	3R	2900000	3000000
816	3R	3000000	3100000
817	3R	3100000	3200000
818	3R	3200000	3300000
819	3R	3300000	3400000
820	3R	3400000	3500000
821	3R	3500000	3600000
822	3R	3600000	3700000
823	3R	3700000	3800000
824	3R	3800000	3900000
825	3R	3900000	4000000
826	3R	4000000	4100000
827	3R	4100000	4200000
828	3R	4200000	4300000
829	3R	4300000	4400000
830	3R	4400000	4500000
831	3R	4500000	4600000
832	3R	4600000	4700000
833	3R	4700000	4800000
834	3R	4800000	4900000
835	3R	4900000	5000000
836	3R	5000000	5100000
837	3R	5100000	5200000
838	3R	5200000	5300000
839	3R	5300000	5400000
840	3R	5400000	5500000
841	3R	5500000	5600000
842	3R	5600000	5700000
843	3R	5700000	5800000
844	3R	5800000	5900000
845	3R	5900000	6000000
846	3R	6000000	6100000
847	3R	6100000	6200000
848	3R	6200000	6300000
849	3R	6300000	6400000
850	3R	6400000	6500000
851	3R	6500000	6600000
852	3R	6600000	6700000
853	3R	6700000	6800000
854	3R	6800000	6900000
855	3R	6900000	7000000
856	3R	7000000	7100000
857	3R	7100000	7200000
858	3R	7200000	7300000
859	3R	7300000	7400000
860	3R	7400000	7500000
861	3R	7500000	7600000
862	3R	7600000	7700000
863	3R	7700000	7800000
864	3R	7800000	7900000
865	3R	7900000	8000000
866	3R	8000000	8100000
867	3R	8100000	8200000
868	3R	8200000	8300000
869	3R	8300000	8400000
870	3R	8400000	8500000
871	3R	8500000	8600000
872	3R	8600000	8700000
873	3R	8700000	8800000
874	3R	8800000	8900000
875	3R	8900000	9000000
876	3R	9000000	9100000
877	3R	9100000	9200000
878	3R	9200000	9300000
879	3R	9300000	9400000
880	3R	9400000	9500000
881	3R	9500000	9600000
882	3R	9600000	9700000
883	3R	9700000	9800000
884	3R	9800000	9900000
885	3R	9900000	10000000
886	3R	10000000	10100000
887	3R	10100000	10200000
888	3R	10200000	10300000
889	3R	10300000	10400000
890	3R	10400000	10500000
891	3R	10500000	10600000
892	3R	10600000	10700000
893	3R	10700000	10800000
894	3R	10800000	10900000
895	3R	10900000	11000000
896	3R	11000000	11100000
897	3R	11100000	11200000
898	3R	11200000	11300000
899	3R	11300000	11400000
900	3R	11400000	11500000
901	3R	11500000	11600000
902	3R	11600000	11700000
903	3R	11700000	11800000
904	3R	11800000	11900000
905	3R	11900000	12000000
906	3R	12000000	12100000
907	3R	12100000	12200000
908	3R	12200000	12300000
909	3R	12300000	12400000
910	3R	12400000	12500000
911	3R	12500000	12600000
912	3R	12600000	12700000
913	3R	12700000	12800000
914	3R	12800000	12900000
915	3R	12900000	13000000
916	3R	13000000	13100000
917	3R	13100000	13200000
918	3R	13200000	13300000
919	3R	13300000	13400000
920	3R	13400000	13500000
921	3R	13500000	13600000
922	3R	13600000	13700000
923	3R	13700000	13800000
924	3R	13800000	13900000
925	3R	13900000	14000000
926	3R	14000000	14100000
927	3R	14100000	14200000
928	3R	14200000	14300000
929	3R	14300000	14400000
930	3R	14400000	14500000
931	3R	14500000	14600000
932	3R	14600000	14700000
933	3R	14700000	14800000
934	3R	14800000	14900000
935	3R	14900000	15000000
936	3R	15000000	15100000
937	3R	15100000	15200000
938	3R	15200000	15300000
939	3R	15300000	15400000
940	3R	15400000	15500000
941	3R	15500000	15600000
942	3R	15600000	15700000
943	3R	15700000	15800000
944	3R	15800000	15900000
945	3R	15900000	16000000
946	3R	16000000	16100000
947	3R	16100000	16200000
948	3R	16200000	16300000
949	3R	16300000	16400000
950	3R	16400000	16500000
951	3R	16500000	16600000
952	3R	16600000	16700000
953	3R	16700000	16800000
954	3R	16800000	16900000
955	3R	16900000	17000000
956	3R	17000000	17100000
957	3R	17100000	17200000
958	3R	17200000	17300000
959	3R	17300000	17400000
960	3R	17400000	17500000
961	3R	17500000	17600000
962	3R	17600000	17700000
963	3R	17700000	17800000
964	3R	17800000	17900000
965	3R	17900000	18000000
966	3R	18000000	18100000
967	3R	18100000	18200000
968	3R	18200000	18300000
969	3R	18300000	18400000
970	3R	18400000	18500000
971	3R	18500000	18600000
972	3R	18600000	18700000
973	3R	18700000	18800000
974	3R	18800000	18900000
975	3R	18900000	19000000
976	3R	19000000	19100000
977	3R	19100000	19200000
978	3R	19200000	19300000
979	3R	19300000	19400000
980	3R	19400000	19500000
981	3R	19500000	19600000
982	3R	19600000	19700000
983	3R	19700000	19800000
984	3R	19800000	19900000
985	3R	19900000	20000000
986	3R	20000000	20100000
987	3R	20100000	20200000
988	3R	20200000	20300000
989	3R	20300000	20400000
990	3R	20400000	20500000
991	3R	20500000	20600000
992	3R	20600000	20700000
993	3R	20700000	20800000
994	3R	20800000	20900000
995	3R	20900000	21000000
996	3R	21000000	21100000
997	3R	21100000	21200000
998	3R	21200000	21300000
999	3R	21300000	21400000
1000	3R	21400000	21500000
1001	3R	21500000	21600000
1002	3R	21600000	21700000
1003	3R	21700000	21800000
1004	3R	21800000	21900000
1005	3R	21900000	22000000
1006	3R	22000000	22100000
1007	3R	22100000	22200000
1008	3R	22200000	22300000
1009	3R	22300000	22400000
1010	3R	22400000	22500000
1011	3R	22500000	22600000
1012	3R	22600000	22700000
1013	3R	22700000	22800000
1014	3R	22800000	22900000
1015	3R	22900000	23000000
1016	3R	23000000	23100000
1017	3R	23100000	23200000
1018	3R	23200000	23300000
1019	3R	23300000	23400000
1020	3R	23400000	23500000
1021	3R	23500000	23600000
1022	3R	23600000	23700000
1023	3R	23700000	23800000
1024	3R	23800000	23900000
1025	3R	23900000	24000000
1026	3R	24000000	24100000
1027	3R	24100000	24200000
1028	3R	24200000	24300000
1029	3R	24300000	24400000
1030	3R	24400000	24500000
1031	3R	24500000	24600000
1032	3R	24600000	24700000
1033	3R	24700000	24800000
1034	3R	24800000	24900000
1035	3R	24900000	25000000
1036	3R	25000000	25100000
1037	3R	25100000	25200000
1038	3R	25200000	25300000
1039	3R	25300000	25400000
1040	3R	25400000	25500000
1041	3R	25500000	25600000
1042	3R	25600000	25700000
1043	3R	25700000	25800000
1044	3R	25800000	25900000
1045	3R	25900000	26000000
1046	3R	26000000	26100000
1047	3R	26100000	26200000
1048	3R	26200000	26300000
1049	3R	26300000	26400000
1050	3R	26400000	26500000
1051	3R	26500000	26600000
1052	3R	26600000	26700000
1053	3R	26700000	26800000
1054	3R	26800000	26900000
1055	3R	26900000	27000000
1056	3R	27000000	27100000
1057	3R	27100000	27200000
1058	3R	27200000	27300000
1059	3R	27300000	27400000
1060	3R	27400000	27500000
1061	3R	27500000	27600000
1062	3R	27600000	27700000
1063	3R	27700000	27800000
1064	3R	27800000	27900000
1065	3R	27900000	28000000
1066	3R	28000000	28100000
1067	3R	28100000	28200000
1068	3R	28200000	28300000
1069	3R	28300000	28400000
1070	3R	28400000	28500000
1071	3R	28500000	28600000
1072	3R	28600000	28700000
1073	3R	28700000	28800000
1074	3R	28800000	28900000
1075	3R	28900000	29000000
1076	3R	29000000	29100000
1077	3R	29100000	29200000
